,city,lng,lat
0,深圳,114.0259736573215,22.546053546205247
1,广州,113.30764967515182,23.12004910207623
2,常州,119.98186101345706,31.771396744684242
3,青岛,120.38442818368189,36.10521490127382
4,合肥,117.28269909168304,31.86694226068694
5,南京,118.77807440802562,32.05723550180587
6,杭州,120.2193754157201,30.259244461536102
7,汕尾,115.3729242893998,22.77873050016389
8,上海,121.48789948569473,31.24916171001514
9,长沙,112.9793527876505,28.21347823085322
10,济南,117.02496706629023,36.68278472716141
11,北京,116.39564503787867,39.92998577808024
12,成都,104.06792346330406,30.679942845419564
13,苏州,120.61990711548988,31.317987367952437
14,淮安,119.31329513263806,33.52834896694177
15,武汉,114.31620010268132,30.58108412692075
16,东莞,113.76343399075655,23.043023815368237
17,西安,125.15014857862096,42.98636494637781
18,天津,117.21081309155257,39.143929903310074
19,重庆,106.53063501341296,29.54460610888615
20,郑州,113.64964384986449,34.756610064140254
21,绍兴,120.59246738555154,30.00236458052847
22,昆明,102.71460113878045,25.049153100453157
23,广东省,113.3948175587587,23.40800372902474
24,福州,119.33022110712668,26.04712549657293
25,大连,121.59347778143518,38.94870993830429
26,台州,121.44061293593727,28.668283285674367
27,石家庄,114.52208184420766,38.048958314615454
28,沈阳,123.43279092160505,41.808644783515746
29,南通,120.87380095093022,32.014664540823446
30,丹东,124.33854311476908,40.1290228266375
31,南昌,115.89352754583604,28.689578000141147
32,佛山,113.1340256353934,23.035094840514382
33,珠海,113.56244702618993,22.25691464612574
34,湖州,120.13724316328172,30.877925155690896
35,云南省,101.59295163700766,24.86421279548333
36,中山,121.67796628922625,38.900436431991984
37,常熟,120.8314859651577,31.669446047798115
38,揭阳,116.37950085538243,23.547999466926136
39,嘉兴,120.76042769895746,30.77399223958183
40,张家港,120.62727852834483,31.907812337769094
41,温州,120.6906347337091,28.002837594041246
42,厦门,118.10388604566381,24.489230612469232
43,呼和浩特,111.6603505200542,40.828318873081585
44,海南省,109.73375548794272,19.18050080126052
45,宁波,121.57900597258933,29.885258965918055
46,贵阳,106.7091770961758,26.62990674144093
47,潍坊,119.14263382297052,36.71611487305138
48,镇江,119.45583540512952,32.20440944359928
49,南宁,108.29723355586638,22.80649293560261
50,日照,119.50717994299387,35.42022519314436
51,惠州,114.41065807997101,23.11353985240842
52,烟台,121.30955503008511,37.53656156285964
53,长春,125.31364242720072,43.89833760709784
54,廊坊,116.70360222263986,39.51861062508462
55,无锡,120.30545590053595,31.57003745192303
56,哈尔滨,126.65771685544611,45.7732246332393
57,宁德,119.54208214971854,26.656527419158913
58,湘潭,112.93555563303435,27.83509505297878
59,昆山,120.96580778410554,31.32893679549736
60,聊城,115.98686913929107,36.455828514727976
61,义乌,120.06729564866686,29.30644391183944
62,临汾,111.53878759640808,36.09974544358536
63,河源,114.71372147587483,23.757250850469006
64,桂林,110.26092014748276,25.262901245955238
65,襄阳,112.25009284837394,32.22916859153757
66,保定,115.49481016907626,38.88656454802744
67,江苏省,119.36848893835847,33.01379716995394
68,海口,110.3308018483363,20.022071276952243
69,威海,122.09395836580605,37.52878708125143
70,肇庆,112.4796533699162,23.078663282928925
71,汕头,116.72865028834109,23.383908453269196
72,连云港,119.17387221741889,34.60154896700999
73,湖北省,112.41056219213213,31.209316250139747
74,太原,112.5508635890553,37.89027705396754
75,株洲,113.13169534107074,27.82743292766265
76,徐州,117.18810662317686,34.27155343109188
77,达州,107.49497344658866,31.214198858944734
78,芜湖,118.38410842322828,31.36601978754301
79,茂名,110.93124533067585,21.66822571882161
80,上饶,117.95546387714894,28.457622553937274
81,南充,106.10555398379239,30.800965168237234
82,江门,113.07812534115365,22.57511678345104
83,金华,119.65257570368145,29.10289910539069
84,漳州,117.67620467894616,24.517064779808482
